# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 996  of event 'cycles'
# Event count (approx.): 46770825493
#
# Overhead  Command          Shared Object               Symbol                                          IPC   [IPC Coverage]
# ........  ...............  ..........................  ..............................................  ....................
#
     2.94%  bench_sock       [kernel.kallsyms]           [k] psi_group_change                            -      -            
     2.93%  echo_sock        [kernel.kallsyms]           [k] psi_group_change                            -      -            
     1.56%  echo_sock        [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0     -      -            
     1.52%  bench_sock       [kernel.kallsyms]           [k] __calc_delta                                -      -            
     1.37%  echo_sock        [kernel.kallsyms]           [k] update_load_avg                             -      -            
     1.20%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     1.09%  bench_sock       [kernel.kallsyms]           [k] __switch_to                                 -      -            
     1.09%  bench_sock       [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     1.09%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     1.07%  echo_sock        [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     1.07%  echo_sock        [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     1.06%  bench_sock       libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.98%  echo_sock        [kernel.kallsyms]           [k] __switch_to                                 -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] update_curr                                 -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.98%  echo_sock        [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.98%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     0.97%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     0.97%  echo_sock        [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.97%  echo_sock        [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.89%  echo_sock        [kernel.kallsyms]           [k] update_curr                                 -      -            
     0.88%  echo_sock        [kernel.kallsyms]           [k] exit_to_user_mode_loop                      -      -            
     0.88%  echo_sock        libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.88%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     0.88%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     0.87%  bench_sock       [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.80%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints.constprop.0           -      -            
     0.76%  bench_sock       [kernel.kallsyms]           [k] ep_poll_callback                            -      -            
     0.76%  bench_sock       libc.so.6                   [.] read                                        -      -            
     0.76%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     0.76%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     0.76%  bench_sock       [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.69%  echo_sock        [kernel.kallsyms]           [k] do_poll.constprop.0                         -      -            
     0.65%  bench_sock       [kernel.kallsyms]           [k] __schedule                                  -      -            
     0.65%  bench_sock       [kernel.kallsyms]           [k] exit_to_user_mode_loop                      -      -            
     0.65%  bench_sock       [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.59%  echo_sock        [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.59%  echo_sock        libc.so.6                   [.] __GI___lll_lock_wait                        -      -            
     0.59%  echo_sock        [kernel.kallsyms]           [k] pick_next_task_fair                         -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.54%  bench_sock       libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] update_load_avg                             -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] __wake_up_common                            -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] x64_sys_call                                -      -            
     0.49%  echo_sock        [kernel.kallsyms]           [k] ep_item_poll.isra.0                         -      -            
     0.49%  echo_sock        [kernel.kallsyms]           [k] set_next_buddy                              -      -            
     0.49%  echo_sock        [kernel.kallsyms]           [k] do_syscall_64                               -      -            
     0.49%  echo_sock        libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.49%  echo_sock        [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.48%  echo_sock        [kernel.kallsyms]           [k] __schedule                                  -      -            
     0.48%  echo_sock        [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
